Course	Code	CRN	Type	Dates	Days	Start	Finish	Room
ACCY	001	15419	L1	Week of 1 March	M	16:40	18:30	RHLT1
ACCY	001	15420	L2-Tut	Trimester 2 starts 2nd week	T	14:40	16:30	RWW222
ACCY	001	15420	L2	Week of 12 July	T	9:00	10:50	MCLT102
ACCY	001	15455	L3	Wks of 15Nov-13Dec	T	13:40	15:30	GBLT1
ACCY	111	6604	L3	Trimester 2	MW	9:00	9:50	KKLT303
ACCY	111	6604	L3-Wkshp	Trimester 2	R	9:00	9:50	KKLT303
ACCY	111	6605	L4	Trimester 2	MW	11:00	11:50	KKLT303
ACCY	111	6605	L4-Wkshp	Trimester 2	R	11:00	11:50	KKLT303
ACCY	111	8335	L5 Sum 10	Wks of 15Nov-13Dec	MW	10:30	12:20	GBLT1
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	W	12:00	12:50	OK501
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	MR	10:00	10:50	VZ509
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	W	10:00	10:50	HU113
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	R	8:00	8:50	KK103
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	M	15:10	16:00	OK501
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	MW	13:10	14:00	OK501
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	F	11:00	11:50	OK501
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	M	12:00	12:50	EA001
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	T	13:10	14:00	EA026
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	MR	12:00	12:50	HU317
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	W	10:00	10:50	MY105
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	T	11:00	11:50	KK103
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	R	12:00	12:50	OK301
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	F	10:00	10:50	KK103
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	MWF	12:00	12:50	KK103
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	MF	13:10	14:00	KK103
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	M	14:10	15:00	KK104
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	M	10:00	10:50	EA004
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	MWR	14:10	15:00	KK105
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	R	13:10	14:00	VZ515
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	W	10:00	10:50	EA026
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	R	10:00	10:50	AM104
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	TR	12:00	12:50	EA026
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	MR	10:00	10:50	VZ510
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	R	13:10	14:00	VZ510
ACCY	111	 	L3/4-Tut	Trimester 2 starts 3rd week	T	14:10	15:00	KK103
ACCY	223	10518	L3-Summer	Wks of 15Nov-13Dec	R	9:30	11:20	GBLT1
